ae train,ae test,ae norm,ae pos,ae quat,ae kld
1.7305987,1.4438714,0.012105332,14.009987,0.32838953,2.7759886
1.3099058,1.2523957,0.011455562,10.285061,0.28025422,3.3697138
1.1500683,1.1223996,0.012143674,8.946972,0.2541567,3.612148
1.0691999,1.0285991,0.013049483,8.305521,0.23734295,3.677286
0.97525525,0.99140203,0.013023045,7.519888,0.22196409,3.833477
0.92358094,0.9543085,0.012963512,7.11229,0.21105567,3.8561938
0.8674289,0.87384176,0.012761617,6.647815,0.20137113,3.9055738
0.8281543,0.83305836,0.012569951,6.331343,0.19376296,3.9325612
0.7845789,0.7852104,0.012372492,5.9689155,0.18645006,4.0064974
0.757128,0.7767421,0.012310214,5.755832,0.18031372,4.015938
0.72886753,0.7610317,0.012249047,5.5302978,0.17461284,4.026534
0.6992157,0.71465915,0.012118325,5.287089,0.16929498,4.0522194
0.6769594,0.70148146,0.011916766,5.110928,0.16467488,4.0969176
0.66206145,0.6751827,0.011750963,5.000492,0.16083717,4.089535
0.63939375,0.6651083,0.011525565,4.817176,0.15652359,4.1226025
0.62094,0.62727714,0.011302317,4.669618,0.15284799,4.148069
0.60328776,0.6314864,0.0111574335,4.52762,0.14941004,4.1695385
0.5903395,0.6217803,0.010986142,4.4289956,0.14634125,4.183116
0.5773877,0.60240114,0.010862621,4.3287554,0.1434259,4.1949816
0.5650248,0.5872459,0.010728464,4.2344284,0.14050913,4.1664724
0.5525802,0.57714814,0.01060141,4.137299,0.13779013,4.188477
0.55033636,0.5861179,0.010484806,4.074988,0.1354702,3.79131
0.55681896,0.5674055,0.010422115,4.0994496,0.13404791,3.535181
0.5425276,0.59367645,0.010278227,3.938277,0.13083634,3.367144
0.54009426,0.56654114,0.010194566,3.8933394,0.12844494,3.1943808
0.53836703,0.563876,0.010082801,3.8538263,0.12644802,3.0633736
0.5366592,0.5658567,0.01003901,3.8134954,0.12448481,2.9820895
0.5325064,0.55781657,0.009931216,3.7596102,0.12218384,2.8601465
